Wed. Oct.  5, 2016             LANDSAT 5                 Time: 18:24
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20222686            Path/Row: 201 / 030

L0R Reference Image: L51MPS1011273100100_HDF.162792321
Acquisition Date: Sep 30, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
201   030   06-19-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2010300112_01   42.791118   -3.409668   616.886      -2.588    -6.482    -1.282    -6.851
2010300113_01   42.775496   -2.500039   893.738      -1.967     0.333    -1.992    -0.054
2010300115_01   42.959834   -2.831119   663.054      -4.131     0.487    -4.141    -0.320
2010300116_01   43.160496   -2.067788   115.719      -1.399     5.870    -2.506     5.486
2010300117_01   42.798892   -2.324187  1035.850      -1.650    -0.822    -1.458    -1.123
2010300121_01   43.314834   -3.118332    84.300       2.703    -3.044     3.239    -2.464
2010300122_01   43.437544   -3.839149    61.621      -2.565    -0.279    -2.459    -0.767
2010300124_01   42.463558   -2.090146   400.208      -1.410    -3.181    -0.769    -3.391
2010300126_01   43.234551   -2.845896   101.366       1.229     3.258     0.577     3.432
2010300129_01   43.205449   -2.879875   124.833      -0.020    -2.736     0.509    -2.687
2010300131_01   43.320022   -2.430860    48.261      -2.174    -0.394    -2.057    -0.806
2010300135_01   42.856892   -3.036971   718.396       1.552    -2.533     2.010    -2.182
2010300136_01   43.325841   -1.980520    32.665      -3.856    -2.046    -3.389    -2.752
2010300137_01   43.296895   -1.860823    99.206       1.978    -0.568     2.047    -0.175
2010300138_01   43.454290   -3.811960    53.181      -1.708     0.315    -1.735    -0.020
2010300143_01   42.312244   -2.172451   679.391       5.597     2.541     4.989     3.574
2010300144_01   43.259433   -2.830255   266.682       1.508     1.000     1.285     1.271
2010300145_01   43.324123   -2.907723   155.355       0.935    -2.683     1.435    -2.450
2010300147_01   42.880911   -3.150816   697.194      -0.773     1.036    -0.957     0.866
2010300150_01   43.358951   -2.620565   299.240       1.931     3.507     1.216     3.811
2010300151_01   42.978440   -2.685769   620.298      -2.949     3.982    -3.659     3.332
2010300152_01   42.837282   -2.658544   581.712       4.618     0.537     4.421     1.419
2010300153_01   42.485666   -3.438318  1030.412       1.444     1.581     1.109     1.827
2010300154_01   42.729012   -2.871280   523.904      -1.880     0.632    -1.965     0.255
2010300155_01   43.300910   -1.974310    66.160      -2.333     0.813    -2.446     0.347
2010300159_01   42.549713   -3.441308   974.246      -3.660     0.828    -3.743     0.103
2010300160_01   43.414307   -3.417249    53.293      -1.008     3.353    -1.635     3.094
2010300162_01   42.650486   -3.102397   852.316      -0.261    -2.302     0.189    -2.305
2010300163_01   42.959166   -3.386048   713.324       0.973    -6.376     2.186    -6.059
2010300165_01   42.627745   -2.669582   926.623      -1.439     1.185    -1.639     0.883
2010300167_01   42.666817   -2.212429   558.547       5.052    -4.731     5.862    -3.658
2010300170_01   42.522616   -2.675626   472.382       1.486     2.381     0.995     2.621
2010300171_01   43.421359   -3.948591    88.153      -2.386     6.635    -3.619     6.048
2010300172_01   42.713733   -3.510640   801.230      -0.560    -1.474    -0.263    -1.552
2010300173_01   42.677603   -2.443364   981.277      -4.852    -3.014    -4.169    -3.889
2010300176_01   42.591006   -2.858053   495.225      -1.055     1.407    -1.306     1.175
2010300179_01   43.322873   -2.675429    49.580       2.661    -1.268     2.854    -0.730
2010300180_01   42.855583   -3.349091   728.211      -0.935     2.605    -1.419     2.371
2010300181_01   43.397546   -2.945102    51.997      -0.720    -2.905    -0.146    -2.988
2010300184_01   42.651270   -4.029732  1043.525      -5.755    -2.649    -5.121    -3.705
2010300185_01   43.079997   -1.919061   514.925       6.136     5.640     4.923     6.713
2010300187_01   43.258516   -1.943197   158.501       1.756    -6.293     2.934    -5.832
2010300188_01   43.320525   -3.002485    53.540      -0.049     1.668    -0.370     1.626
2010300189_01   42.719232   -2.243568   698.223       1.319     2.523     0.803     2.727
2010300190_01   42.848420   -3.278221   735.380      -2.348     3.512    -2.978     2.987
2010300192_01   42.699258   -2.569852   743.153      -5.422     3.071    -5.905     1.960
2010300195_01   42.873901   -3.615500  1047.890      -2.248     1.965    -2.579     1.490
2010300197_01   43.462309   -3.786864    52.441      -7.038    -4.263    -6.078    -5.537
2010300198_01   43.130360   -2.542962   246.634       2.512    -0.414     2.542     0.079
2010300199_01   42.947418   -3.273189   679.718      -4.222    -0.771    -3.987    -1.570
2010300201_01   43.431294   -3.780526    52.203      -2.778     1.563    -3.024     0.998
2010300202_01   42.943537   -3.512186   626.221       1.702    -2.572     2.166    -2.192
2010300203_01   42.541999   -3.524142   910.897      -1.382     4.243    -2.173     3.888
2010300205_01   42.616501   -2.719382  1044.589      -1.707    -0.115    -1.649    -0.442
2010300206_01   43.133524   -2.788151   181.869      -1.957    -6.295    -0.704    -6.551
2010300209_01   43.196149   -3.202637   229.708      -4.295    -2.660    -3.697    -3.436
2010300213_01   42.653097   -2.103172   539.244       0.304    -1.530     0.592    -1.440
2010300215_01   43.190759   -2.075805   123.138       1.110     0.350     1.020     0.557
2010300217_01   43.321567   -1.868459    90.610      -5.887    -0.426    -5.693    -1.556
2010300222_01   42.935115   -3.374861   754.281       0.518    -5.427     1.557    -5.217
2010300223_01   42.542218   -2.747135   478.141       0.522     1.446     0.232     1.518
2010300226_01   43.046263   -1.922945   764.242       2.065     6.601     0.748     6.866
2010300227_01   42.672759   -2.345302   610.212       1.527     1.555     1.194     1.819
2010300229_01   42.882905   -3.242064   951.258       0.199     0.776     0.045     0.798
2010300230_01   42.651923   -3.947776  1032.670       4.248     0.577     4.049     1.385
2010300232_01   42.622182   -3.876748  1003.627       0.980    -1.376     1.227    -1.159
2010300236_01   42.717596   -3.966047   913.903       3.953    -7.125     5.251    -6.216
2010300237_01   43.396465   -3.244746    90.535       0.643    -3.270     1.263    -3.083
2010300238_01   42.626980   -2.322391  1050.729      -1.588    -6.901    -0.223    -7.064
2010300240_01   43.040760   -2.651566   606.850       0.965     1.193     0.715     1.356
2010300241_01   43.393992   -4.017708    54.949      -2.278    -4.062    -1.448    -4.423
2010300242_01   43.389227   -3.732899    88.384      -0.799    -3.183    -0.167    -3.275
2010300243_01   42.499579   -2.653807   466.292      -5.081     1.020    -5.177     0.016
2010300246_01   42.809690   -3.646878  1050.274       3.809    -2.084     4.133    -1.305
2010300249_01   42.785874   -3.262090   571.910      -5.765    -0.779    -5.497    -1.877
2010300252_01   43.378920   -2.974417    97.089       1.482     2.455     0.980     2.693
2010300253_01   42.629374   -2.844103   499.946       0.183    -3.981     0.949    -3.865
2010300254_01   43.344891   -3.418157    57.891       2.514    -2.275     2.906    -1.746
2010300255_01   42.559816   -3.760107   979.820      -2.223    -0.739    -2.033    -1.153
2010300256_01   43.231520   -2.390463   155.145      -0.943     5.748    -2.034     5.454
2010300257_01   42.826970   -3.649126  1059.973      -0.485    -1.659    -0.153    -1.718
2010300258_01   42.756146   -2.477534   779.675      -2.323     5.113    -3.264     4.559
2010300264_01   43.314058   -2.961039    87.453       2.770    -5.262     3.733    -4.626
2010300266_01   43.388615   -1.796055   113.586      -1.165    -5.380    -0.107    -5.502
2010300267_01   42.695605   -4.016659   983.141       0.674     1.532     0.366     1.630
2010300268_01   42.783140   -2.900963   553.553       4.333     6.756     2.940     7.458
2010300269_01   43.288515   -2.817308   168.322       6.113    -5.108     6.980    -3.829
2010300272_01   42.487430   -2.577571   459.493      -2.514     0.426    -2.547    -0.070
2010300274_01   42.687654   -3.181920  1087.749      -4.685    -0.917    -4.409    -1.802
2010300277_01   42.509476   -2.735181   522.344       2.014    -1.648     2.292    -1.225
2010300278_01   43.027330   -2.407511   312.209       4.783     1.102     4.475     2.004
2010300281_01   42.987763   -3.014228   337.113      -5.405    -2.946    -4.729    -3.931
2010300284_01   42.635101   -2.097261   735.520       1.639    -2.887     2.162    -2.511
2010300285_01   43.402457   -3.767608    60.745       2.633     1.802     2.237     2.275
2010300286_01   43.246561   -3.255649   240.293       2.596    -6.473     3.795    -5.846
2010300287_01   42.769768   -3.186529   588.772       1.830     5.076     0.812     5.328
2010300289_01   42.338693   -2.601199  1384.218       2.216    -4.823     3.099    -4.290
2010300290_01   42.589764   -2.737751   692.719      -0.486    -3.447     0.190    -3.470
2010300291_01   42.745191   -2.443552   696.912       0.156     4.359    -0.690     4.300
2010300292_01   42.991696   -4.139255   904.777      -0.495     3.188    -1.098     3.027
2010300295_01   43.268870   -2.047296    80.090       5.755    -1.894     6.008    -0.746
2010300296_01   42.798342   -3.005692   630.925      -3.509     6.377    -4.670     5.570
